"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","GCS_COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","GREENWICH_DATUM","UOM_CODE","ELLIPSOID_CODE","PRIME_MERIDIAN_CODE","SHOW_CRS","DEPRECATED","COORD_SYS_CODE","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS"
4239,Indian 1954,GCS_Indian_1954,6239,Indian 1954,6239,9122,7015,8901,1,0,6422,9603,217,823,299,,,,
4240,Indian 1975,GCS_Indian_1975,6240,Indian 1975,6240,9122,7015,8901,1,0,6422,,,,,,,,
4241,Jamaica 1875,GCS_Jamaica_1875,6241,Jamaica 1875,6241,9122,7034,8901,1,0,6422,,,,,,,,
4242,JAD69,GCS_JAD69,6242,Jamaica 1969,6242,9122,7008,8901,1,0,6422,,,,,,,,
4243,Kalianpur 1880,GCS_Kalianpur_1880,6243,Kalianpur 1880,6243,9122,7042,8901,1,0,6422,,,,,,,,
4244,Kandawala,GCS_Kandawala,6244,Kandawala,6244,9122,7015,8901,1,0,6422,9603,-97,787,86,,,,
4245,Kertau 1968,GCS_Kertau_1968,6245,Kertau 1968,6245,9122,7018,8901,1,0,6422,9603,-11,851,5,,,,
4246,KOC,GCS_KOC,6246,Kuwait Oil Company,6246,9122,7012,8901,1,0,6422,9603,-294.7,-200.1,525.5,,,,
4247,La Canoa,GCS_La_Canoa,6247,La Canoa,6247,9122,7022,8901,1,0,6422,9603,-273.5,110.6,-357.9,,,,
4248,PSAD56,GCS_PSAD56,6248,Provisional South American Datum 1956,6248,9122,7022,8901,1,0,6422,,,,,,,,
4249,Lake,GCS_Lake,6249,Lake,6249,9122,7022,8901,1,0,6422,,,,,,,,
4250,Leigon,GCS_Leigon,6250,Leigon,6250,9122,7012,8901,1,0,6422,9603,-130,29,364,,,,
4251,Liberia 1964,GCS_Liberia_1964,6251,Liberia 1964,6251,9122,7012,8901,1,0,6422,9603,-90,40,88,,,,
4252,Lome,GCS_Lome,6252,Lome,6252,9122,7011,8901,1,0,6422,,,,,,,,
4253,Luzon 1911,GCS_Luzon_1911,6253,Luzon 1911,6253,9122,7008,8901,1,0,6422,,,,,,,,
4254,Hito XVIII 1963,GCS_Hito_XVIII_1963,6254,Hito XVIII 1963,6254,9122,7022,8901,1,0,6422,,,,,,,,
4255,Herat North,GCS_Herat_North,6255,Herat North,6255,9122,7022,8901,1,0,6422,9603,-333,-222,114,,,,
4256,Mahe 1971,GCS_Mahe_1971,6256,Mahe 1971,6256,9122,7012,8901,1,0,6422,9603,41,-220,-134,,,,
4257,Makassar,GCS_Makassar,6257,Makassar,6257,9122,7004,8901,1,0,6422,9603,-587.8,519.75,145.76,,,,
4258,ETRS89,GCS_ETRS89,6258,European Terrestrial Reference System 1989,6258,9122,7019,8901,1,0,6422,,,,,,,,
4259,Malongo 1987,GCS_Malongo_1987,6259,Malongo 1987,6259,9122,7022,8901,1,0,6422,,,,,,,,
4260,Manoca,GCS_Manoca,6260,Manoca,6260,9108,7012,8901,1,1,6402,9603,-70.9,-151.8,-41.4,,,,
4261,Merchich,GCS_Merchich,6261,Merchich,6261,9122,7011,8901,1,0,6422,9603,31,146,47,,,,
4262,Massawa,GCS_Massawa,6262,Massawa,6262,9122,7004,8901,1,0,6422,9603,639,405,60,,,,
4263,Minna,GCS_Minna,6263,Minna,6263,9122,7012,8901,1,0,6422,,,,,,,,
4264,Mhast,GCS_Mhast,6264,Mhast,6264,9122,7022,8901,1,1,6422,9603,-252.95,-4.11,-96.38,,,,
4265,Monte Mario,GCS_Monte_Mario,6265,Monte Mario,6265,9122,7022,8901,1,0,6422,,,,,,,,
4266,"M'poraloko","GCS_M'poraloko",6266,"M'poraloko",6266,9122,7011,8901,1,0,6422,,,,,,,,
4267,NAD27,GCS_NAD27,6267,North American Datum 1927,6267,9122,7008,8901,1,0,6422,,,,,,,,
4268,NAD27 Michigan,GCS_NAD27_Michigan,6268,NAD Michigan,6268,9122,7009,8901,1,0,6422,,,,,,,,
4269,NAD83,GCS_NAD83,6269,North American Datum 1983,6269,9122,7019,8901,1,0,6422,,,,,,,,
4270,Nahrwan 1967,GCS_Nahrwan_1967,6270,Nahrwan 1967,6270,9122,7012,8901,1,0,6422,,,,,,,,
4271,Naparima 1972,GCS_Naparima_1972,6271,Naparima 1972,6271,9122,7022,8901,1,0,6422,,,,,,,,
4272,NZGD49,GCS_NZGD49,6272,New Zealand Geodetic Datum 1949,6272,9122,7022,8901,1,0,6422,,,,,,,,
4273,NGO 1948,GCS_NGO_1948,6273,NGO 1948,6273,9122,7005,8901,1,0,6422,9606,278.3,93,474.5,7.889,0.05,-6.61,6.21
4274,Datum 73,GCS_Datum_73,6274,Datum 73,6274,9122,7022,8901,1,0,6422,,,,,,,,
4275,NTF,GCS_NTF,6275,Nouvelle Triangulation Francaise,6275,9122,7011,8901,1,0,6422,9603,-168,-60,320,,,,
4276,NSWC 9Z-2,GCS_NSWC_9Z-2,6276,NSWC 9Z-2,6276,9122,7025,8901,1,0,6422,,,,,,,,
4277,OSGB 1936,GCS_OSGB_1936,6277,OSGB 1936,6277,9122,7001,8901,1,0,6422,,,,,,,,
4278,OSGB70,GCS_OSGB70,6278,"OSGB 1970 (SN)",6278,9122,7001,8901,1,0,6422,,,,,,,,
4279,"OS(SN)80","GCS_OS(SN)80",6279,"OS (SN) 1980",6279,9122,7001,8901,1,0,6422,,,,,,,,
4280,Padang,GCS_Padang,6280,Padang 1884,6280,9122,7004,8901,1,0,6422,,,,,,,,
4281,Palestine 1923,GCS_Palestine_1923,6281,Palestine 1923,6281,9122,7010,8901,1,0,6422,9606,-275.7224,94.7824,340.8944,-8.001,-4.42,-11.821,1
4282,Pointe Noire,GCS_Pointe_Noire,6282,Congo 1960 Pointe Noire,6282,9122,7011,8901,1,0,6422,,,,,,,,
4283,GDA94,GCS_GDA94,6283,Geocentric Datum of Australia 1994,6283,9122,7019,8901,1,0,6422,9603,0,0,0,,,,
4284,Pulkovo 1942,GCS_Pulkovo_1942,6284,Pulkovo 1942,6284,9122,7024,8901,1,0,6422,,,,,,,,
4285,Qatar 1974,GCS_Qatar_1974,6285,Qatar 1974,6285,9122,7022,8901,1,0,6422,,,,,,,,
